codigo_entidad,sector,departamento,total_contracts,total_spend,mean_risk_index,mean_calibrated_score,high_risk_contracts,flagged_spend,value_at_risk
700098023,Trabajo,Distrito Capital de Bogotá,472,2935408907345,0.5198387947429345,0.6581064625879436,184,197419202493,129922852999.60117
700637010,Cultura,Distrito Capital de Bogotá,3425,622952720049,0.270058230262984,0.44543784132074776,1049,289772918596,129075823332.615
700638059,agricultura,Distrito Capital de Bogotá,2048,1897235299688,0.331812352964109,0.5669389696400609,1045,225450098907,127816446779.5844
702192410,Servicio Público,Tolima,7238,944030113245,0.20942511505631686,0.365869819985698,1668,334046717792,122217612505.3723
704148642,Salud y Protección Social,Caldas,525,272464207205,0.39106800400457975,0.6240336144013575,302,193151621909,120533104747.35771
704156264,Salud y Protección Social,Meta,697,334854259314,0.2865822536455362,0.4759860131342486,283,250108300307,119048052714.9123
701699407,Transporte,Distrito Capital de Bogotá,6804,1082564040516,0.3016517619155258,0.5322686673741465,3294,221725708244,118017647249.62268
700859218,Servicio Público,Cauca,6153,772640331488,0.2229889258672578,0.3971216015782102,1689,288481178800,114562107750.22601
701433674,Servicio Público,Distrito Capital de Bogotá,1862,302298937134,0.3886559748172312,0.7993232130913749,1677,142153243883,113626387651.92139
710188293,No aplica/No pertenece,No Definido,2409,385135507242,0.23277819597107557,0.40662870730371153,740,271972623037,110591876127.53494
704141639,Salud y Protección Social,Putumayo,410,163361304013,0.42161068841753807,0.7372896916808006,314,149432996617,110175408002.68605
702523150,agricultura,Distrito Capital de Bogotá,9265,548899948288,0.26838836380050757,0.46235778806144956,3346,236580871521,109385008454.09955
703187666,Transporte,Distrito Capital de Bogotá,169,238545129128,0.4826301869688211,0.6294727390517089,72,172189581432,108388647460.1683
700367014,Salud y Protección Social,Distrito Capital de Bogotá,7720,244578886015,0.3831060366779851,0.722981954896168,6214,148564213534,107409245528.42307
702312703,Ley de Justicia,Distrito Capital de Bogotá,2160,264798248266,0.4110049830254971,0.6557045113955764,1410,159633069145,104672123606.2985
700262025,"Vivienda, Ciudad y Territorio",No Definido,3193,861486991481,0.271941044335113,0.4823370249519541,1244,215327643713,103860495058.44276
702413246,Servicio Público,Cesar,2915,1092276016721,0.29705370614990534,0.4197302302242197,896,247201398201,103757899778.65474
702270372,Servicio Público,Santander,6736,535413581118,0.3789132983587417,0.8107913024662039,6389,127861733352,103669181320.05455
705412617,Servicio Público,Caldas,2361,715530295343,0.4184071119319425,0.6057244992931733,1154,170819952659,103469830293.65634
702046087,Transporte,Distrito Capital de Bogotá,1153,1234042981873,0.4717078853848348,0.7058578149936732,667,144868754632,102256742605.39809
700985013,defensa,Distrito Capital de Bogotá,914,505347222801,0.46252405358347803,0.6273114779946279,446,160407173887,100625261331.99525
704153378,Salud y Protección Social,Casanare,411,140207338586,0.4100544233114821,0.7718031286297606,336,128410743194,99107813346.80194
701922320,Ambiente y Desarrollo Sostenible,Distrito Capital de Bogotá,2394,287749819097,0.35732635921447936,0.6329685237137356,1519,155803770445,98618882567.6054
702440603,deportes,Valle del Cauca,10707,305996662015,0.31479166083476057,0.6472089404660372,7439,149929293436,97035579149.53514
700665045,Salud y Protección Social,Tolima,1796,333115774511,0.2990485139046804,0.5114512955958194,793,187881177478,96092071639.19118
705555407,Servicio Público,Córdoba,2240,724715276858,0.3062749697529754,0.5485263017555678,1074,174129790340,95514769920.67259
700209018,Ambiente y Desarrollo Sostenible,Distrito Capital de Bogotá,2607,300386685676,0.2983025785232811,0.5457847235747847,1328,174472320373,95224327146.22908
702541384,Servicio Público,Distrito Capital de Bogotá,4814,324572464751,0.28776637068029437,0.5820497576024003,2787,162938510568,94838320580.20055
701347270,No aplica/No pertenece,Distrito Capital de Bogotá,6150,1021206947053,0.2986890167957811,0.5032324076202199,2618,186155475824,93679468290.59917
704654201,Servicio Público,Santander,6748,624832296367,0.20285064685291465,0.3774002872415909,1669,243992101885,92082689336.07852
702158197,Industria,Distrito Capital de Bogotá,2059,353424933628,0.30683676041613955,0.537825481154306,1010,170552297624,91727371531.60019
700587033,defensa,Distrito Capital de Bogotá,4782,391009178695,0.42945121386412016,0.6330122918129606,2698,142278157561,90063822592.61412
704194505,Salud y Protección Social,Arauca,402,157813554726,0.35530156155270143,0.6259348346353975,240,140322920051,87833003757.67879
702169566,Cultura,Distrito Capital de Bogotá,1398,408556210622,0.3161080522410308,0.6221070875973033,876,141171611750,87823860237.20973
704193143,Salud y Protección Social,Quindío,506,178524743215,0.38051753148542306,0.6242000311083763,298,138511682570,86458996569.06754
702594383,Servicio Público,La Guajira,1792,277285922739,0.2985774691667659,0.5249248423084069,823,160753609925,84383563340.38777
700358088,Industria,Distrito Capital de Bogotá,1316,414854556722,0.4850739894027749,0.8061277974084357,1125,104620167115,84337224880.9174
704153386,Trabajo,Putumayo,1120,120222069534,0.5136748154706551,0.7715415253952429,856,108227703791,83502167672.93265
709391528,No aplica/No pertenece,Norte de Santander,5824,810963302737,0.1877140831243361,0.29118188152127733,822,286162684284,83325388830.99438
700642036,Servicio Público,Huila,8319,576265645586,0.1809245291372095,0.34412646121107243,1752,233125856736,80224776095.35913
702259557,Servicio Público,Risaralda,13557,718359726318,0.1208367391249538,0.25949923449534146,1403,302544337525,78510023988.63771
702179409,Educación Nacional,Cundinamarca,1052,413996853090,0.31953152061523965,0.5387416630983308,518,144897612145,78062380545.9742
702001421,Cultura,Antioquia,3176,1005669269495,0.486256561803743,0.7512955635094359,2193,101766500536,76456720366.57744
706091220,No aplica/No pertenece,Casanare,5768,578453119809,0.19944653322566935,0.3629636695881934,1286,210284543796,76325649673.87534
700985252,defensa,Distrito Capital de Bogotá,2618,2174919823311,0.4983164303257061,0.6173238586202475,751,123213143982,76062413475.70036
702280165,No aplica/No pertenece,Risaralda,4406,472243868562,0.18278146228048228,0.3317370621552463,812,225757012467,74891968076.7479
705153054,No aplica/No pertenece,Sucre,3371,486868094654,0.3753866141461735,0.7351635242525109,2723,100518616762,73897620551.73943
700787393,Servicio Público,Tolima,9049,556959746543,0.2108620210035007,0.40489890409386964,2729,181749313483,73590097849.07986
700694045,No aplica/No pertenece,Nariño,4692,564073660711,0.25271235951412246,0.4494938759582045,1633,162712193874,73138134690.08708
709404925,Salud y Protección Social,Valle del Cauca,1182,239243424674,0.2752597715713631,0.39274313425604346,271,185838718259,72986880675.16547
700445042,Servicio Público,Norte de Santander,6321,418857705315,0.2747117824361306,0.47795586809865465,2445,150323432814,71847966826.18515
702442005,Servicio Público,Antioquia,583,314691907363,0.34134180136793446,0.5222187541916428,225,136166539394,71108720564.92192
702196130,Cultura,Distrito Capital de Bogotá,993,108732979445,0.4230383462694435,0.7290162963815753,779,95562213417,69666410899.28702
700409022,defensa,Distrito Capital de Bogotá,1521,822097228263,0.48695113957944175,0.6479357683752425,581,107005622816,69332770439.75633
703426569,No aplica/No pertenece,Antioquia,1984,444623886510,0.29789294692438656,0.46731846042596975,643,147722308434,69033361747.94713
700363047,Hacienda y Crédito Público,No Definido,863,300387544780,0.30948474540957593,0.5088907353830444,336,130051740330,66182125774.37843
700961014,Servicio Público,Bolívar,6682,1535989744409,0.20443639688525253,0.34154538688462116,1231,192499888629,65747448937.03829
700569015,Presidencia de la República,Distrito Capital de Bogotá,491,186429624631,0.39984655765515054,0.5638632181877211,193,114828753796,64747710655.898056
702238833,No aplica/No pertenece,Boyacá,5,229946633504,0.5166471896733735,0.66702095643417,2,94694947944,63163514747.09082
700094030,Trabajo,Distrito Capital de Bogotá,2049,479551799738,0.22842012751438023,0.36476843375649476,430,170879964686,62331617078.87736
700077019,Minas y Energía,Distrito Capital de Bogotá,2286,895481023417,0.2855876458657128,0.45076841899648573,696,134550382982,60651063412.1678
700065089,Hacienda y Crédito Público,Distrito Capital de Bogotá,1331,1280671792075,0.4611171692981437,0.7750110287419583,962,77404920498,59989667064.844475
700108012,Ambiente y Desarrollo Sostenible,Antioquia,832,199454629244,0.37762178639653415,0.6036776795056191,418,99343505011,59971456578.99532
702230251,Servicio Público,Distrito Capital de Bogotá,1612,239426035219,0.33494475239158844,0.5944887418983028,896,100012607445,59456369173.946884
700660053,Ley de Justicia,Distrito Capital de Bogotá,392,130312537233,0.39031126985610126,0.5690110128445433,185,104433698471,59423924542.085335
700686124,No aplica/No pertenece,Distrito Capital de Bogotá,1692,407884205846,0.2982482082897146,0.49495956492250076,671,119255967567,59026881821.37418
702408220,Salud y Protección Social,Valle del Cauca,6110,214331299769,0.24224237792500264,0.4338211804725637,2001,135925221656,58967240114.8008
706481892,Servicio Público,Sucre,5301,258277646208,0.36080003839700237,0.6655934198263335,3670,87235185629,58063165531.99113
702943952,defensa,Distrito Capital de Bogotá,1163,341659537680,0.38571553526713437,0.4580262818266138,252,119790470627,54867183859.545006
701715401,Industria,Distrito Capital de Bogotá,872,72688297617,0.46166968720008505,0.8065987923886191,763,67501882670,54446937045.58025
702183476,"Vivienda, Ciudad y Territorio",Distrito Capital de Bogotá,1148,192430785374,0.3138057959383945,0.6015893959252797,684,89684724468,53953379216.429276
700694094,Servicio Público,Nariño,6689,297029396845,0.19498503729919345,0.37104028801201194,1649,144191843548,53500983159.03288
707512638,Servicio Público,Antioquia,138,170516378457,0.42675271109251445,0.628401659786061,82,84785019975,53279047277.28433
703639690,Servicio Público,Cesar,3212,283070340558,0.2619600815511508,0.4535768595858647,1199,117291301412,53200620151.19405
702016304,Ambiente y Desarrollo Sostenible,Distrito Capital de Bogotá,7343,440420355002,0.22031439215891052,0.39209700686143545,1935,134260147099,52643001818.29394
701551798,agricultura,Distrito Capital de Bogotá,3022,364180531481,0.17660354291045965,0.30737780210072174,444,169145174027,51991471828.36334
709183180,Servicio Público,Arauca,1477,276973954519,0.27915145289806514,0.49420296013437054,584,104590546782,51688957821.73676
702492034,Ambiente y Desarrollo Sostenible,Distrito Capital de Bogotá,1665,154716213227,0.3274790996099941,0.6234905894016126,1014,80881455141,50428826137.52218
700795065,Hacienda y Crédito Público,Distrito Capital de Bogotá,1758,611997505124,0.4731672670102544,0.6719692021455562,823,74885352443,50320650533.51149
702390477,No aplica/No pertenece,Magdalena,1799,371471587188,0.2722417551866811,0.498592514545413,760,99569056782,49644386391.85239
703915215,No aplica/No pertenece,Meta,5465,414421525164,0.21044355386492974,0.39275059286700076,1503,125245974162,49190430606.33056
701341109,Presidencia de la República,Distrito Capital de Bogotá,1106,181779415963,0.33184868050258787,0.5681987094873111,565,86074455513,48907394542.30957
700612096,Transporte,Distrito Capital de Bogotá,2162,231419851522,0.29956198191602024,0.5636904405359223,1127,86704583576,48874544912.43913
702069113,Hacienda y Crédito Público,Distrito Capital de Bogotá,1687,297129724815,0.3233019800989149,0.5021970491916025,574,95571095882,47995522339.94811
702923731,Servicio Público,Córdoba,2177,399103850678,0.23109153528899992,0.38935961081892717,549,122236677879,47594025326.76601
702217274,Ambiente y Desarrollo Sostenible,Valle del Cauca,1092,328741351447,0.2747652156888462,0.44419006212002426,335,105044999263,46659944748.02988
701255226,Servicio Público,Distrito Capital de Bogotá,3601,439259973022,0.1851161219834464,0.31570449962567537,544,147446935844,46549661101.96908
700803117,Presidencia de la República,Distrito Capital de Bogotá,5577,754406465240,0.26476494090344005,0.37296799692803934,918,124350343452,46378698514.60617
709374037,Hacienda y Crédito Público,Valle del Cauca,1081,405115948251,0.4267223483003137,0.7970974479635361,1005,58163928510,46362318978.85456
711734475,No aplica/No pertenece,Putumayo,1,50873286934,0.5410377479036609,0.8961082996953456,1,50873286934,45587974654.34018
700296015,Ciencia Tecnología,Distrito Capital de Bogotá,2388,210923791444,0.33304710652371566,0.5921979959359349,1343,76676804698,45407850076.92668
702354804,Servicio Público,Boyacá,3030,317279952735,0.21095347175493975,0.366478349716894,628,123811401914,45374198249.57781
701869646,Planeación,Distrito Capital de Bogotá,2006,223654160280,0.2555129057008426,0.41498074975259114,561,109231701525,45329053395.59576
700898067,Ley de Justicia,Distrito Capital de Bogotá,5411,385275192624,0.2889242213548215,0.4745316657671751,2032,91715685256,43521996901.50762
702412826,Educación Nacional,Distrito Capital de Bogotá,1735,310757530233,0.18635495645137318,0.2977303337569827,219,142885710085,42541410152.71052
702445743,Industria,Distrito Capital de Bogotá,3037,327554659137,0.44050786015654264,0.7860387676532986,2416,54102450792,42526623747.56691
700103013,Ley de Justicia,Distrito Capital de Bogotá,2059,214488181194,0.22609116223748407,0.4048327835169955,562,104506428934,42307628520.77229
704059641,Servicio Público,Cundinamarca,1349,270232929160,0.3085523755392675,0.49579749606940565,491,85298829880,42290946272.1542
703038141,Servicio Público,Cauca,4754,229443790954,0.2861175125230616,0.49286744340545746,1969,85792115291,42284140527.82143
702330952,defensa,Distrito Capital de Bogotá,635,199859049180,0.4480888363075831,0.7249440777141593,426,56608130585,41037729018.06551
702263278,Transporte,Distrito Capital de Bogotá,220,103894251249,0.3711054771596007,0.5966243188003566,116,68118574247,40641197957.76789
702380551,Transporte,Distrito Capital de Bogotá,776,229026881376,0.4242575235478926,0.734505321367424,625,55242959001,40576247354.31693
702640434,Trabajo,Distrito Capital de Bogotá,49,282506167133,0.6185398028836985,0.6010088903884697,8,67480189422,40556193767.71997
705430593,Ambiente y Desarrollo Sostenible,Santander,1558,212681485843,0.18986801207282875,0.3312092887196226,273,122045888691,40422731984.500336
702028184,Servicio Público,Distrito Capital de Bogotá,1462,127018500857,0.4224154880905114,0.808767884949988,1302,49904960118,40361529043.14836
700112022,agricultura,No Definido,1269,156771957348,0.3485531064573819,0.5499033262514083,611,73308777323,40312740493.34151
704147271,Salud y Protección Social,Amazonas,266,69932655726,0.35713917501516007,0.6134550926062499,159,65617141738,40253169761.442215
702825183,No aplica/No pertenece,Valle del Cauca,1618,153184870003,0.28232357793635654,0.5651017308661916,908,67596201087,38198730234.24284
703223495,Hacienda y Crédito Público,No Definido,67,130704256576,0.49094205744762226,0.7633587270752538,54,50034304829,38194123244.360664
700509136,Inclusión Social y Reconciliación,Distrito Capital de Bogotá,5225,918573583319,0.17097322344085905,0.2826782454106068,537,134834498922,38114779576.08932
704035211,No aplica/No pertenece,Caquetá,1779,114289430176,0.29143834879888053,0.5234456792662303,804,72775387946,38093962377.2574
702384207,Cultura,Valle del Cauca,3357,9202924087622,0.45263460034061764,0.8183068525041305,2863,45855474224,37523848782.32572
702066127,Cultura,Distrito Capital de Bogotá,7420,387879847142,0.1581999700246074,0.29168628149766,925,128322474760,37429905495.32173
702475393,Servicio Público,Putumayo,3741,395977038617,0.2974398434227649,0.469799845303662,1370,79517185571,37357161480.23838
702318460,No aplica/No pertenece,"San Andrés, Providencia y Santa Catalina",9521,377263516840,0.14569621716409942,0.3004275219120429,1553,124332879553,37353018896.2963
703961946,Trabajo,Distrito Capital de Bogotá,431,82390829520,0.3204925586331339,0.5133304520774209,174,71248085773,36573812079.50495
702424037,No aplica/No pertenece,La Guajira,1052,178168917192,0.297325351378023,0.5151408587875005,450,70630595737,36384705744.63095
708954680,deportes,Antioquia,54,44503221211,0.502397104913664,0.8199011505442029,49,44348052082,36361018926.42603
702354598,Servicio Público,Magdalena,2820,241499896962,0.2374754739446933,0.4377158964180045,950,82668761609,36185431093.44975
701674376,Salud y Protección Social,Distrito Capital de Bogotá,732,90735673447,0.33601877085784065,0.5686593192139612,354,61727257452,35101780199.599236
701365033,Servicio Público,Quindío,10017,316409295274,0.256239972528093,0.4686713857677957,3867,74334005360,34838221301.74195
700578032,No aplica/No pertenece,Distrito Capital de Bogotá,1550,152398497544,0.34132816261450305,0.6192548370797543,925,56240407313,34827144267.910835
702516691,No aplica/No pertenece,Distrito Capital de Bogotá,1976,81564737141,0.3307163464142143,0.6602626909435485,1350,52574211027,34712790046.921
701698169,defensa,Distrito Capital de Bogotá,236,137998072712,0.4907475380217821,0.6799404540951686,118,50529480550,34357037950.35999
702459025,defensa,Huila,467,94783264692,0.5111941450458883,0.7283302747737823,293,47027008226,34251193823.0315
700834104,Ambiente y Desarrollo Sostenible,Distrito Capital de Bogotá,1086,542331092145,0.45500613696610265,0.7880187563334697,809,42972158534,33862866924.92738
700663107,Información Estadística,Distrito Capital de Bogotá,5579,292530311777,0.21467149028448385,0.3675754450258274,1276,91611226498,33674037349.36422
709360457,Educación Nacional,Valle del Cauca,2080,202848776144,0.2044376554652087,0.3493469039189248,421,96064568208,33559859479.773174
707451597,Salud y Protección Social,Sucre,964,67074666492,0.4262966291408737,0.6892888443391929,650,48681636680,33555709087.697662
702234287,No aplica/No pertenece,Distrito Capital de Bogotá,1171,67477330441,0.3700912571547884,0.7018919682982033,882,47665868020,33456289925.200184
700566011,Minas y Energía,Distrito Capital de Bogotá,457,458143147680,0.41426612708140625,0.6193882462050085,242,53970809402,33428884981.769566
701724569,defensa,Distrito Capital de Bogotá,275,87220937077,0.5237623107802011,0.6521784873209847,121,51154813438,33362068847.182022
704059872,No aplica/No pertenece,Cundinamarca,2437,213610215293,0.32857332649080856,0.5472136993505335,1086,60158034251,32919300468.145813
700620032,No aplica/No pertenece,Distrito Capital de Bogotá,1181,221074426523,0.3125649481512356,0.47825382154045665,416,67894287455,32470702436.120033
702418120,Ambiente y Desarrollo Sostenible,Valle del Cauca,3441,142671424692,0.28264196761952765,0.5283660628201412,1683,61327869524,32403564961.543205
702375593,Salud y Protección Social,Distrito Capital de Bogotá,1575,82259569366,0.34172005929987576,0.6529057272158458,1083,48658604324,31769481441.469322
701006074,Minas y Energía,Distrito Capital de Bogotá,2973,271135153973,0.21403757607778992,0.358507873061095,615,86289344236,30935409269.885017
700927064,Salud y Protección Social,Distrito Capital de Bogotá,1717,108525565863,0.367335019292592,0.5845074207737242,808,52650041224,30774339799.470493
702191560,Servicio Público,Tolima,2218,543077657492,0.45319165448766935,0.758649203482136,1513,40498229885,30723949844.69169
702019308,Ley de Justicia,Distrito Capital de Bogotá,457,456205164014,0.5102710813593944,0.6110138417267597,118,50205979559,30676548447.999756
702095092,Servicio Público,Distrito Capital de Bogotá,1791,242782482140,0.35295196867334294,0.6409061711119278,1112,47711261656,30578442026.8663
