community_id,n_contracts,n_vendors,n_agencies,total_spend,direct_rate,modified_rate,proxy_rate,flag_systemic,flag_collusion,flag_tight_community
114.0,9459,2232,108,114013738346,0.9970398562215879,0.07685801881805687,0.076329421714769,0,0,0
61.0,397,80,44,108574881245,0.8261964735516373,0.11586901763224182,0.11083123425692695,0,0,0
22.0,820,176,62,81427833948,0.823170731707317,0.2646341463414634,0.22439024390243903,1,0,1
80.0,284,62,13,76421230688,0.9471830985915493,0.09507042253521127,0.0880281690140845,0,0,0
104.0,1242,309,32,69529225821,0.9830917874396136,0.16022544283413848,0.15780998389694043,1,0,1
77.0,647,157,24,66493069443,0.990726429675425,0.027820710973724884,0.02627511591962906,0,0,0
106.0,1445,428,65,48468904282,0.9536332179930795,0.01730103806228374,0.009688581314878892,0,0,0
162.0,6,2,1,38828849142,0.0,0.0,0.0,0,0,0
138.0,13,2,8,25834841724,0.8461538461538461,0.15384615384615385,0.15384615384615385,0,0,0
246.0,7,2,4,25459856817,1.0,0.7142857142857143,0.7142857142857143,0,1,1
150.0,2253,514,23,24738371883,1.0,0.05148690634709276,0.05148690634709276,0,0,0
118.0,98,17,21,24140455204,0.9387755102040817,0.2857142857142857,0.2857142857142857,0,1,1
160.0,9,2,5,22015348838,0.7777777777777778,0.4444444444444444,0.4444444444444444,0,1,1
133.0,93,23,13,21793531653,0.7741935483870968,0.021505376344086023,0.021505376344086023,0,0,0
129.0,1868,438,27,21433770428,1.0,0.0053533190578158455,0.0053533190578158455,0,0,0
126.0,429,122,23,19135854554,1.0,0.13986013986013987,0.13986013986013987,0,0,0
158.0,49,7,10,17980472873,0.9795918367346939,0.12244897959183673,0.12244897959183673,0,0,0
119.0,270,71,18,15000087087,0.9814814814814815,0.014814814814814815,0.007407407407407408,0,0,0
146.0,23,3,7,12512410659,1.0,0.17391304347826086,0.17391304347826086,0,0,0
248.0,12,3,4,12292637674,1.0,0.16666666666666666,0.16666666666666666,0,0,0
249.0,8,2,6,10203397758,1.0,0.375,0.375,0,1,1
155.0,22,3,13,9850083762,1.0,0.36363636363636365,0.36363636363636365,0,1,1
122.0,280,72,17,8854271933,1.0,0.039285714285714285,0.039285714285714285,0,0,0
83.0,47,13,8,8658959223,0.9148936170212766,0.02127659574468085,0.02127659574468085,0,0,0
125.0,182,48,15,7968895388,0.8681318681318682,0.14285714285714285,0.13186813186813187,0,0,0
147.0,172,44,18,7913566504,0.8372093023255814,0.13372093023255813,0.11627906976744186,0,0,0
109.0,242,66,13,7447663110,0.9462809917355371,0.1115702479338843,0.10743801652892562,0,0,0
244.0,12,2,7,6839295219,0.9166666666666666,0.16666666666666666,0.16666666666666666,0,0,0
144.0,147,34,5,5783942974,1.0,0.04081632653061224,0.04081632653061224,0,0,0
148.0,180,56,10,5639043922,0.9611111111111111,0.016666666666666666,0.016666666666666666,0,0,0
111.0,139,39,6,5569266956,0.8345323741007195,0.22302158273381295,0.20863309352517986,0,0,0
139.0,10,2,5,5502852118,1.0,0.1,0.1,0,0,0
198.0,9,2,4,5377773954,0.8888888888888888,0.2222222222222222,0.1111111111111111,0,0,0
153.0,214,48,15,5376483361,1.0,0.3925233644859813,0.3925233644859813,0,1,1
121.0,28,8,4,5214057243,0.6428571428571429,0.17857142857142858,0.14285714285714285,0,0,0
127.0,335,86,15,4956864710,1.0,0.10746268656716418,0.10746268656716418,0,0,0
199.0,7,2,4,4890100307,1.0,0.14285714285714285,0.14285714285714285,0,0,0
149.0,130,35,6,4259900055,0.8923076923076924,0.03076923076923077,0.007692307692307693,0,0,0
86.0,104,29,7,4256523836,1.0,0.009615384615384616,0.009615384615384616,0,0,0
196.0,9,3,1,4212165452,1.0,0.0,0.0,0,0,0
161.0,11,2,9,4178129657,1.0,0.18181818181818182,0.18181818181818182,0,0,0
197.0,184,48,6,4108126303,1.0,0.010869565217391304,0.010869565217391304,0,0,0
154.0,141,41,10,3872239393,0.9219858156028369,0.014184397163120567,0.014184397163120567,0,0,0
230.0,7,2,3,3855478947,1.0,0.7142857142857143,0.7142857142857143,0,1,1
141.0,180,51,16,3562894701,0.9944444444444445,0.022222222222222223,0.016666666666666666,0,0,0
23.0,13,1,5,3560107777,1.0,0.0,0.0,0,0,0
137.0,8,2,3,3510430371,0.875,0.125,0.125,0,0,0
140.0,6,2,3,3154644378,1.0,0.0,0.0,0,0,0
216.0,14,2,6,2904834118,0.5714285714285714,0.07142857142857142,0.07142857142857142,0,0,0
108.0,162,45,6,2859747389,1.0,0.3333333333333333,0.3333333333333333,0,1,1
191.0,8,2,4,2629750253,0.375,0.25,0.125,0,0,0
81.0,7,2,4,2618047178,1.0,0.0,0.0,0,0,0
8.0,43,13,3,2600945831,1.0,0.06976744186046512,0.06976744186046512,0,0,0
94.0,69,14,13,2503106500,0.9420289855072463,0.08695652173913043,0.08695652173913043,0,0,0
190.0,31,3,19,2390663843,0.3225806451612903,0.2903225806451613,0.06451612903225806,0,0,0
135.0,17,3,7,2337394645,0.5882352941176471,0.11764705882352941,0.11764705882352941,0,0,0
145.0,18,4,9,2271108724,0.3888888888888889,0.2777777777777778,0.0,0,0,0
201.0,183,51,13,2205868844,1.0,0.0273224043715847,0.0273224043715847,0,0,0
134.0,107,26,10,2201683468,0.9532710280373832,0.205607476635514,0.205607476635514,0,0,0
102.0,17,5,1,2197494978,1.0,0.0,0.0,0,0,0
143.0,68,2,61,2081989489,0.029411764705882353,0.14705882352941177,0.0,0,0,0
136.0,11,2,6,2025208895,1.0,0.18181818181818182,0.18181818181818182,0,0,0
164.0,6,2,3,1999595003,1.0,0.0,0.0,0,0,0
107.0,5,1,2,1923155724,1.0,0.0,0.0,0,0,0
51.0,75,24,5,1835313776,1.0,0.0,0.0,0,0,0
213.0,167,47,11,1658220503,0.9401197604790419,0.029940119760479042,0.023952095808383235,0,0,0
152.0,7,2,3,1615522874,1.0,0.2857142857142857,0.2857142857142857,0,1,1
167.0,16,4,3,1607377578,1.0,0.0,0.0,0,0,0
159.0,136,38,8,1594860227,0.875,0.0,0.0,0,0,0
209.0,35,3,25,1461133626,0.08571428571428572,0.05714285714285714,0.0,0,0,0
179.0,11,3,1,1451578661,1.0,0.18181818181818182,0.18181818181818182,0,0,0
112.0,16,3,5,1440301294,0.0625,0.1875,0.0,0,0,0
20.0,19,3,7,1397799625,0.7894736842105263,0.10526315789473684,0.0,0,0,0
151.0,7,2,3,1371238535,1.0,0.14285714285714285,0.14285714285714285,0,0,0
168.0,7,2,4,1369685135,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,0,0
222.0,75,21,6,1268033144,1.0,0.09333333333333334,0.09333333333333334,0,0,0
4.0,33,9,5,1195728530,1.0,0.0,0.0,0,0,0
217.0,42,7,5,1168639207,0.2857142857142857,0.023809523809523808,0.023809523809523808,0,0,0
180.0,63,17,4,1155115941,1.0,0.031746031746031744,0.031746031746031744,0,0,0
7.0,13,3,3,1145157400,0.6153846153846154,0.15384615384615385,0.0,0,0,0
110.0,64,14,6,1130861282,1.0,0.21875,0.21875,0,0,0
131.0,18,2,12,1020751016,0.05555555555555555,0.05555555555555555,0.0,0,0,0
207.0,79,23,6,997891583,1.0,0.05063291139240506,0.05063291139240506,0,0,0
142.0,29,7,3,996685638,1.0,0.06896551724137931,0.06896551724137931,0,0,0
223.0,9,2,3,961868052,0.7777777777777778,0.3333333333333333,0.2222222222222222,0,0,0
157.0,51,13,6,915851640,1.0,0.0392156862745098,0.0392156862745098,0,0,0
69.0,13,3,5,885048415,0.8461538461538461,0.15384615384615385,0.07692307692307693,0,0,0
58.0,46,14,3,849980368,0.7391304347826086,0.2608695652173913,0.17391304347826086,0,0,0
193.0,7,2,3,846105398,0.42857142857142855,0.0,0.0,0,0,0
124.0,64,14,6,839622519,1.0,0.046875,0.046875,0,0,0
184.0,41,10,5,793668940,1.0,0.0,0.0,0,0,0
13.0,7,2,4,753202400,1.0,0.0,0.0,0,0,0
15.0,11,3,2,699269000,0.5454545454545454,0.2727272727272727,0.09090909090909091,0,0,0
203.0,17,6,2,690499176,0.8235294117647058,0.11764705882352941,0.058823529411764705,0,0,0
229.0,26,7,3,672521324,1.0,0.07692307692307693,0.07692307692307693,0,0,0
76.0,19,6,2,659766123,1.0,0.05263157894736842,0.05263157894736842,0,0,0
227.0,6,2,3,616179080,0.8333333333333334,0.0,0.0,0,0,0
194.0,11,2,5,560418956,0.8181818181818182,0.09090909090909091,0.09090909090909091,0,0,0
185.0,15,3,2,533230770,1.0,0.0,0.0,0,0,0
156.0,34,9,2,512196666,1.0,0.0,0.0,0,0,0
166.0,19,6,1,494163942,1.0,0.0,0.0,0,0,0
95.0,23,8,2,471775371,1.0,0.0,0.0,0,0,0
52.0,22,6,3,454813334,1.0,0.09090909090909091,0.09090909090909091,0,0,0
221.0,10,2,4,400680808,0.5,0.1,0.0,0,0,0
220.0,7,1,4,397437031,0.0,0.5714285714285714,0.0,0,0,0
224.0,16,2,8,390487500,0.6875,0.0,0.0,0,0,0
214.0,7,3,2,385510806,0.14285714285714285,0.14285714285714285,0.0,0,0,0
39.0,8,2,1,366827569,1.0,0.125,0.125,0,0,0
238.0,8,2,3,357799052,0.75,0.0,0.0,0,0,0
210.0,35,9,4,346076666,1.0,0.42857142857142855,0.42857142857142855,0,1,1
240.0,5,1,2,315491498,1.0,0.0,0.0,0,0,0
241.0,55,13,2,290558801,1.0,0.0,0.0,0,0,0
176.0,8,2,1,287091231,1.0,0.0,0.0,0,0,0
211.0,6,1,4,283962000,1.0,0.0,0.0,0,0,0
233.0,7,2,2,260164600,1.0,0.42857142857142855,0.42857142857142855,0,1,1
170.0,12,3,2,253733565,0.5833333333333334,0.0,0.0,0,0,0
202.0,16,5,1,233272923,1.0,0.0,0.0,0,0,0
173.0,4,1,1,216472819,1.0,0.25,0.25,0,0,0
192.0,8,1,6,211236328,0.0,0.0,0.0,0,0,0
172.0,4,1,1,208314976,1.0,0.0,0.0,0,0,0
232.0,24,6,1,204887942,1.0,0.25,0.25,0,0,0
186.0,12,4,1,201172500,1.0,0.6666666666666666,0.6666666666666666,0,1,1
226.0,16,4,1,192464098,1.0,0.25,0.25,0,0,0
188.0,33,3,9,191254279,0.0,0.06060606060606061,0.0,0,0,0
163.0,10,2,4,188218333,1.0,0.2,0.2,0,0,0
120.0,9,3,1,182223822,1.0,0.0,0.0,0,0,0
239.0,4,1,1,181890000,1.0,0.25,0.25,0,0,0
189.0,30,6,4,179054387,0.0,0.4,0.0,0,0,0
88.0,5,2,2,168966525,1.0,0.0,0.0,0,0,0
183.0,15,5,1,161690626,1.0,0.0,0.0,0,0,0
204.0,28,7,4,159451410,1.0,0.10714285714285714,0.10714285714285714,0,0,0
225.0,3,1,1,159324541,1.0,0.0,0.0,0,0,0
245.0,7,1,2,158952915,0.0,0.0,0.0,0,0,0
236.0,3,1,1,156928368,0.0,0.0,0.0,0,0,0
27.0,10,3,2,155867205,0.8,0.0,0.0,0,0,0
195.0,5,1,2,153592000,0.2,0.4,0.0,0,0,0
231.0,12,3,1,151339434,1.0,0.25,0.25,0,0,0
234.0,6,2,1,148973480,1.0,0.5,0.5,0,0,0
116.0,14,4,2,141738796,1.0,0.07142857142857142,0.07142857142857142,0,0,0
235.0,4,1,1,140683320,1.0,0.25,0.25,0,0,0
242.0,3,1,1,130243027,0.6666666666666666,0.3333333333333333,0.0,0,0,0
219.0,3,1,1,129875280,1.0,0.0,0.0,0,0,0
205.0,6,2,1,128239000,1.0,0.3333333333333333,0.3333333333333333,0,0,0
237.0,11,3,1,126335000,1.0,0.0,0.0,0,0,0
117.0,9,3,1,124543332,1.0,0.1111111111111111,0.1111111111111111,0,0,0
174.0,11,3,2,124298944,1.0,0.0,0.0,0,0,0
30.0,9,3,1,111700000,1.0,0.0,0.0,0,0,0
38.0,7,1,4,111605562,1.0,0.0,0.0,0,0,0
56.0,8,2,2,110900000,1.0,0.375,0.375,0,0,0
212.0,4,1,1,110029375,1.0,0.0,0.0,0,0,0
87.0,10,3,2,98459600,1.0,0.3,0.3,0,0,0
49.0,13,4,1,93306666,1.0,0.0,0.0,0,0,0
